TRANSFORMADOR;MACRO;MARCA_CONFIABLE;FRANJA;ETIQUETA;ESTADO_TRAFO;UBICACION;SUBESTACION;CELDA;PERIODO;KVA;MUNICIPIO;CANT_USU;ENERGIAENTRADA;ENERGIASALIDA;ENERGIAENTRADAGEN;CONSUMO_AP;CONSUMO_OTROS;PERDIDAS;IP;PERXUSU;CLIENTES_FACTOR;CLIENTES_OC;CLIENTES_PREPAGOS;CLIENTES_AUTOGENERADORES;CLIENTES_NIVEL>1;CANT_REV;BAL_MANUAL;BALANCECONFIABLE;BALANCEDEFINITIVO;BALANCECRITICADO;REGLA_APLICADA;MATRIZ;COORDENADA_X;COORDENADA_Y;ZONA;GRUPO;PERIOCIDAD;CUADRANTES;NIVEL_DE_TENSION;REGIONALES;GRUP_UBICA;CUAD_UBICA;PERIODO_INICIO;PERIODO_FIN;FILTRO_DESCART;CONSTANTE;RAMAL;ENTRADA_AJUSTADA;PERDIDAS_AJUSTADAS;IP_AJUSTADO;ENERGIASALIDAGEN;RANGO_DE_IP;IP_CALCULADO;RANGO_PERDIDAS;TRAFO_PERIODO;USU_SALEN;USU_NUEVOS;TRAFOS PRIORIZADOS.TRAFO;CANT_USU_TOTAL;CONSUMO_ADICIONAL;KVA_MENOR_15;IP_EFICIENTE_N1;PRIORIDAD;FECHA_INST_MED_MACRO;PERIODO NUM;AÑOS_MES_INSTALA;Aun_Mantener_Despues_Instalacion;Etiqueta_fin;BARRIO;VALIDAR_MI;VALIDAR_AGPE;TRAFOS_CONJUNTOS.TRAFO;VAL_CONJUNTOS;Revisiones_;etiqueta1;etiqueta2;red_abierta;etiqueta3;etiqueta4;etiqueta5;etiqueta6;etiqueta7;perdidas_no_tec;perdidas_total_gw;franja_fin;COLUMNA_FIN;DIRECCION;MARCA_MED;MODELO_MED;NUMERO_MED;SENTIDO_MED;AÑO_MED;RED_TRENZADA;period1;FLAG_Mantener_Venia_BuenoReduccion;FLAG_Ultimo_Periodo_BUENO;Transformadores_Mantener_BuenoReduccion;Acum_12_Perdidas;Acum_12_Entrada;Acum_12_Salida
1T09936;511705;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC48;202607;75;San José De Cúcuta;28;22.069;21.365;2069,43;198;0;704;3,19%;25,2;1;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,498974;7,883526;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;40;CENSSANC48-1SANC48_F;22069;704;3,19%;;  0%-5%;3,20%;  500-1000;1T09936202607;0;0;;28;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;LA PLAYA;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;0,00070443;IP BAJO;IP BAJO;CLL 14 0 - 97 CENTRO;HEX;HXE34K CT;23909561;Unidireccional;22;TRENZADO;202607;0;;0;7538,85;226301,85;218763
1T09789;508324;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC5;202607;75;San José De Cúcuta;53;10.345;10.252;865,29;100,8;0;93;0,90%;1,8;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,49342;7,930649;1;A;Mensual;2;1;CUCUTA;CUAD 1-2-3-20;CAUD 2 - SEVILLA - INSULA;202508;202607;Cumple;1;CENSSEVC5-1SEVC5_F;10345;93;0,90%;;  0%-5%;0,90%;   0-500;1T09789202607;0;0;;53;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;GARCIA HERREROS;SIN_MI;SOLO_AGPE;;NO;17;validar;validar;0;validar;validar;validar;validar;validar;0;9,35E-05;IP BAJO;IP BAJO;AVE 2 CLL 15 GARCIA HERREROS IV ETAPA;HEX;HXE34K CT;23909035;Unidireccional;22;TRENZADO;202607;0;;0;1798,88;131173,48;129374,6
1T09720;504771;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;BELEN;BELC27;202607;150;San José De Cúcuta;46;13.067;12.692;346,66;227,88;0;375;2,87%;8,1;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,508052;7,885822;1;A;Mensual;3;1;CUCUTA;CUAD 1-2-3-20;CUAD 3 - BELEN;202508;202607;Cumple;60;CENSBELC27-1BELC27_F;13067;375;2,87%;;  0%-5%;2,90%;   0-500;1T09720202607;0;0;;46;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;EL LLANO;SIN_MI;SOLO_AGPE;;NO;1;validar;validar;0;validar;validar;validar;validar;validar;0;0,00037478;IP BAJO;IP BAJO;AVE 9 10-05 CENTRO;HEX;HXE34K CT;23909617;Unidireccional;22;TRENZADO;202607;0;;0;7370,95;182463,63;175092,68
1T09621;520147;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;ESCOBAL;ESCC62;202607;75;San José De Cúcuta;70;20.649;19.335;928,67;218,52;0;1.314;6,36%;18,8;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,46988006;7,91105205;1;B;Mensual;4;1;CUCUTA;CUAD 4-5-6;CUAD 4 - ESCOBAL;202508;202607;Cumple;40;CENSESCC62-1ESCC62_F;20649;1314;6,36%;;  5%-10%;6,40%; 1000-2000;1T09621202607;0;0;;70;0;CUMPLE;9,12%;3A>=15kwh;;202607;;No;Validar;PRADOS DEL ESTE;SIN_MI;SOLO_AGPE;;NO;1;validar;validar;0;validar;validar;validar;validar;validar;0,001;0,00131415;CONTROL;CONTROL;AVE 4B 8-05 VALLE BONITO;HEX;HXE34K CT;18282307;Unidireccional;18;TRENZADO;202607;0;;0;17516,21;229467,45;211951,24
1T09547;436345;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;ESCOBAL;ESCC63;202607;75;San José De Cúcuta;62;18.000;16.279;0;279;0;1.721;9,56%;27,8;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,47632197;7,90753286;1;B;Mensual;4;1;CUCUTA;CUAD 4-5-6;CUAD 4 - ESCOBAL;202508;202607;Cumple;40;CENSESCC63-1ESCC63_F;18000;1721;9,56%;;  5%-10%;9,60%; 1000-2000;1T09547202607;0;0;;62;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;PRADOS DEL ESTE;SIN_MI;SOLO_AGPE;;NO;1;validar;validar;0;validar;validar;validar;validar;validar;0,001;0,001721;CONTROL;CONTROL;CLL 1D-2 AV 5B URB BOSQUE SANTA BARBARA PRADOS;HEX;HXE34K CT;17087263;Unidireccional;18;TRENZADO;202607;0;;0;19282;187440;168158
1T09496;485645;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC16;202607;150;San José De Cúcuta;94;33.420;32.950;3980,29;355,68;0;471;1,41%;5,1;0;0;0;4;0;0;N;S;S;NO APLICO REGLA;;NA;-72,506569;7,896352;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSEVC16-1SEVC16_F;33420;470;1,41%;;  0%-5%;1,40%;   0-500;1T09496202607;0;0;;93;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LA MERCED;SIN_MI;SOLO_AGPE;;NO;2;validar;validar;8,91;validar;validar;validar;validar;validar;-0,001;0,00047061;IP BAJO;IP BAJO;AVE 6  1A-19 MERCED;HEX;HXE34K CT;23909812;Unidireccional;22;TRENZADO;202607;0;;0;9406,91;421022,07;411615,16
1T09494;482787;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;BELEN;BELC28;202607;150;San José De Cúcuta;50;37.903;36.164;1182,89;193,68;0;1.739;4,59%;34,8;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;;NA;-72,506074;7,885384;1;A;Mensual;3;1;CUCUTA;CUAD 1-2-3-20;CUAD 3 - BELEN;202508;202607;Cumple;80;CENSBELC28-1BELC28_F;37903;1739;4,59%;;  0%-5%;4,60%; 1000-2000;1T09494202607;0;0;;50;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;EL CENTRO;SIN_MI;SOLO_AGPE;;NO;1;validar;validar;33,26;validar;validar;validar;validar;validar;0;0,00173921;IP BAJO;IP BAJO;CLL 11  7-11 CENTRO;HEX;HXE34K CT;23909701;Unidireccional;22;NO_APLICA;202607;0;;0;18183,68;473748,84;455565,16
1T09420;481814;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC45;202607;75;San José De Cúcuta;56;29.719;27.545;1438,51;315;0;2.174;7,31%;38,8;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,47273923;7,88605735;1;B;Mensual;4;1;CUCUTA;CUAD 4-5-6;CUAD 4 - ESCOBAL;202508;202607;Cumple;40;CENSSANC45-1SANC45_F;29719;2174;7,32%;;  5%-10%;7,30%; 2000-3000;1T09420202607;0;0;;56;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;LA LIBERTAD;SIN_MI;SOLO_AGPE;;NO;;validar;validar;10,49;validar;validar;validar;validar;validar;0,001;0,00217351;Reduccion;Reduccion;CLL 17  16-75 VALLESTHER;HEX;HXE34K CT;23909785;Unidireccional;22;NO_APLICA;202607;0;;0;18563,51;340318,51;321755
1T09083;802427;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC17;202607;113;San José De Cúcuta;32;9.786;9.513;1146,21;205,92;0;273;2,79%;8,5;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,506038;7,894779;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSEVC17-1SEVC17_F;9786;273;2,79%;;  0%-5%;2,80%;   0-500;1T09083202607;0;0;;32;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;CALLEJON;SIN_MI;SOLO_AGPE;;NO;;validar;validar;21,18;validar;validar;validar;validar;validar;0;0,00027329;IP BAJO;IP BAJO;CLL 2  5-53 CARORA;HEX;HXE34K CT;17963029;Unidireccional;18;NO_APLICA;202607;0;;0;409,07;101579,27;101170,2
1T08950;484107;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC54;202607;75;San José De Cúcuta;56;25.670;23.204;1830,2;0;0;2.466;9,61%;44;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;;NA;-72,486605;7,913269;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;40;CENSSANC54-1SANC54_F;25670;2466;9,61%;;  5%-10%;9,60%; 2000-3000;1T08950202607;0;0;;56;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;VILLAS DE ALCALA I;SIN_MI;SOLO_AGPE;;NO;2;validar;validar;0;validar;validar;validar;validar;validar;0,002;0,0024662;Reduccion;Reduccion;CLL 11N 16E-125 VILLAS DE ALCALA II AV LIBERTADORE;HEX;HXE34K CT;23909762;Unidireccional;22;TRENZADO;202607;0;;0;32492,45;307679,45;275187
1T08901;469432;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC17;202607;113;San José De Cúcuta;31;26.518;25.836;1677,99;108,72;0;682;2,57%;22;1;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,5065316;7,88840364;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;60;CENSSEVC17-1SEVC17_F;26518;682;2,57%;;  0%-5%;2,60%;  500-1000;1T08901202607;0;0;;31;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;EL CENTRO;SIN_MI;SOLO_AGPE;;NO;;validar;validar;30,18;validar;validar;validar;validar;validar;0;0,00068227;IP BAJO;IP BAJO;CLL 8 7-50 CENTRO;HEX;HXE34K CT;21457893;Unidireccional;21;NO_APLICA;202607;0;;0;15711,09;316153,73;300442,64
1T08848;466326;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC49;202607;113;San José De Cúcuta;28;15.360;14.298;780,46;0;0;1.062;6,92%;37,9;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,502637;7,884993;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;60;CENSSANC49-1SANC49_F;15360;1062;6,91%;;  5%-10%;6,90%; 1000-2000;1T08848202607;0;0;;28;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;EL CENTRO;SIN_MI;SOLO_AGPE;;NO;;validar;validar;28,16;validar;validar;validar;validar;validar;0,001;0,00106246;CONTROL;CONTROL;CLL 12  4-08 CENTRO;HEX;HXE34K CT;18997629;Unidireccional;18;NO_APLICA;202607;0;;0;10168,55;238926,55;228758
1T08800;474357;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC48;202607;113;San José De Cúcuta;25;12.616;11.643;3375,56;572,04;0;973;7,71%;38,9;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,499556;7,88869;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC48-1SANC48_F;12616;973;7,71%;;  5%-10%;7,70%;  500-1000;1T08800202607;0;0;;25;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;LATINO;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0,001;0,00097252;CONTROL;CONTROL;CLL 9 0-77 CENTRO;HEX;HXE34K CT;18997855;Unidireccional;18;TRENZADO;202607;0;;0;3494,91;134897,39;131402,48
1T08758;461993;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC46;202607;113;San José De Cúcuta;13;28.447;27.849;1206,7;66,6;0;598;2,10%;46;3;0;0;2;0;0;N;S;S;NO APLICO REGLA;;NA;-72,497174;7,881747;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;60;CENSSANC46-1SANC46_F;28447;598;2,10%;;  0%-5%;2,10%;  500-1000;1T08758202607;0;0;;13;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;CAOBOS;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;0,0005981;IP BAJO;IP BAJO;CLL 16 0E-39 B/CAOBOS (CARRITOS);HEX;HXE34K CT;21457634;Unidireccional;21;TRENZADO;202607;0;;0;5746,19;312694,39;306948,2
1T08708;484095;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC54;202607;113;San José De Cúcuta;62;25.276;23.588;1875,83;0;0;1.688;6,68%;27,2;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;;NA;-72,4877493;7,88662245;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC54-1SANC54_F;25276;1688;6,68%;;  5%-10%;6,70%; 1000-2000;1T08708202607;0;0;;62;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;SAN LUIS;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0,001;0,00168783;CONTROL;CONTROL;AVE 0 20A-41 URB VILLA PARQUE;HEX;HXE34K CT;23909480;Unidireccional;22;TRENZADO;202607;0;;0;28620,5;284852,5;256232
